genomes markers marker_sets Completeness Contamination Strain_heterogeneity Genome_size ambiguous_bases scaffolds contigs N50 N50contigs Mean_scaffold_length Mean_contig_length Longest_scaffold Longest_contig. GC GC_std Coding_density Translation_table predicted_genes total_length percent_completion percent_redundancy gc_content num_genes avg_gene_length num_genes_per_kb group2
Marinobacter_salinus_Hb8 263 506 232 100 0.52 33.33 4121005 0 1 1 4121005 4121005 4121005 4121005 4121005 4121005 55.91 0 91.51 11 3803 4121005 98.5611510791 0 0.559077458047 3780 996.621428571 0.917251981009 other
Marinobacter_santoriniensis_NKSG1 263 507 232 100 0.3 50 4033468 0 41 41 293792 293792 98377 98377 1154882 1154882 58.33 3.27 91.55 11 3709 4033468 99.2805755396 0 0.583294822222 3729 994.33226066 0.924514586455 other
Marinobacter_sp_ANT_B65 263 507 232 100 0.9 0 4173840 72 8 8 2216721 2216700 521730 521721 2216721 2216700 53.65 1.75 91.2 11 3819 4173840 99.2805755396 0 0.536538207203 3822 997.831240188 0.915703524812 antarcticus
Marinobacter_sp_BSs20148 263 505 231 100 0 0 4063864 0 1 1 4063864 4063864 4063864 4063864 4063864 4063864 54.13 0 89.2 11 3755 4063864 100 0 0.541346856096 3694 978.587980509 0.908987111773 psychro
Marinobacter_sp_C18 263 506 232 100 0.5 0 4934532 0 42 42 227222 227222 117488 117488 595131 595131 56.89 2.84 91.11 11 4604 4934532 98.5611510791 5.75539568345 0.568876555847 4591 980.016554128 0.930382050415 algicola
Marinobacter_sp_C1S70 263 507 232 100 0 0 4126405 0 105 105 150583 150583 39299 39299 480891 480891 57.31 4.03 91.46 11 3833 4126405 100 0.719424460432 0.573082622767 3848 983.771569647 0.932530859186 hydrocarbo
Marinobacter_sp_CP1 263 506 232 100 0.46 0 4768422 0 1 1 4768422 4768422 4768422 4768422 4768422 4768422 56.92 0 90.36 11 4406 4768422 98.5611510791 4.31654676259 0.569243871453 4394 981.432180246 0.921478845622 adhaerens
Marinobacter_sp_CPC8 263 506 232 99.25 0.14 0 4656670 9371 95 95 97038 97038 49017 49017 219416 219416 55.7 9.69 91.28 11 4407 4656670 98.5611510791 4.31654676259 0.557028501932 4443 962.910871033 0.954115279803 algicola
Marinobacter_sp_DSM_26291 263 506 232 100 0.07 0 4492204 0 53 53 167159 167159 84758 84758 524431 524431 56.98 2.78 91.43 11 4156 4492204 99.2805755396 3.59712230216 0.569766199398 4154 990.11482908 0.924713125228 algicola
Marinobacter_sp_DSM_26671 263 506 232 100 0.22 0 4867885 2720 77 82 226374 184746 63219 59331 515445 377835 57.07 3.7 90.48 11 4494 4867885 98.5611510791 2.87769784173 0.570664304294 4458 997.825706595 0.915798134097 adhaerens
Marinobacter_sp_EN3 263 507 232 100 0.07 0 3979725 0 106 106 212596 212596 37544 37544 788953 788953 57.43 5.06 91.39 11 3704 3979725 100 0.719424460432 0.574278373506 3722 980.600214938 0.935240500286 adhaerens
Marinobacter_sp_ES_042 263 506 232 100 0 0 3936136 0 1 1 3936136 3936136 3936136 3936136 3936136 3936136 57.24 0 91.43 11 3583 3936136 98.5611510791 0 0.572353699161 3571 1008.59059087 0.907234912615 adhaerens
Marinobacter_sp_ES_048 263 506 232 100 0 0 4063301 0 2 2 2386308 2386308 2031650 2031650 2386308 2386308 56.87 0.08 90.8 11 3764 4063301 99.2805755396 0 0.568656124663 3754 983.570058604 0.923879377875 hydrocarbo
Marinobacter_sp_ES_1 263 507 232 100 0.09 0 3559739 0 117 117 86139 86139 30425 30425 375517 375517 58.62 4.74 90.85 11 3329 3559739 100 0.719424460432 0.586209831676 3360 968.059821429 0.943889425601 adhaerens
Marinobacter_sp_EVN1 263 507 232 100 0.79 0 4301017 0 71 71 273738 273738 60577 60577 738833 738833 57.18 4.53 91.37 11 3991 4301017 100 0 0.571764073474 4017 982.044809559 0.933965152893 adhaerens
Marinobacter_sp_EhC06 263 506 232 100 0.43 0 4620179 6 38 38 539878 539878 121583 121583 1298909 1298909 57.21 3.47 91.23 11 4236 4620179 99.2805755396 2.15827338129 0.572052172072 4235 996.920188902 0.91663115217 vinifirmus
Marinobacter_sp_EhN04 263 506 232 100 0.43 0 4619018 13 38 38 539908 539908 121553 121552 1298944 1298944 57.2 3.89 91.23 11 4239 4619018 99.2805755396 2.15827338129 0.572048958596 4236 996.462464589 0.917078045593 hydrocarbo
Marinobacter_sp_FDB33 263 506 232 100 0.07 0 4199790 16 57 57 214759 214756 73680 73680 975978 975975 57.32 3.96 90.65 11 3894 4199790 100 2.15827338129 0.573166326686 3912 976.457822086 0.931475145186 lipo
Marinobacter_sp_HK15 263 506 232 100 0.07 0 4402595 198 32 32 861427 861427 137581 137581 1682213 1682213 57.19 3.45 91.7 11 4057 4402595 99.2805755396 3.59712230216 0.571872096042 4046 998.581067721 0.919003451374 algicola
Marinobacter_sp_HL_58 263 506 232 99.57 0.66 0 4291518 0 1 1 4291518 4291518 4291518 4291518 4291518 4291518 57.56 0 90.68 11 3894 4291518 99.2805755396 3.59712230216 0.575560908751 3895 1001.17740693 0.90760425565 algicola
Marinobacter_sp_LQ44 263 507 232 100 0 0 4322708 0 89 89 113974 113974 48569 48569 459970 459970 57.16 2.79 90.82 11 4012 4322708 99.2805755396 2.15827338129 0.571599793463 4009 980.809927663 0.927427899363 excellens
Marinobacter_sp_LV10R510_11A 263 507 232 99.57 0.92 0 4436489 0 1 1 4436489 4436489 4436489 4436489 4436489 4436489 53.67 0 89.46 11 4320 4436489 99.2805755396 0.719424460432 0.536682047448 4279 927.262911895 0.964501433453 antarcticus
Marinobacter_sp_LV10R510_8 263 507 232 99.57 0.11 0 4333333 0 1 1 4333333 4333333 4333333 4333333 4333333 4333333 53.9 0 89.54 11 4272 4333333 99.2805755396 0 0.538997579923 4244 914.217483506 0.979384690722 antarcticus
Marinobacter_sp_N4 263 506 232 100 0.43 0 4340695 59 61 61 166663 166663 71158 71157 548994 548994 57.25 2.51 91.15 11 3985 4340695 99.2805755396 2.15827338129 0.572510341802 3997 992.268951714 0.920820283388 adhaerens
Marinobacter_sp_P4B1 263 507 232 100 0.09 0 3740877 0 15 15 378721 378721 249391 249391 1236531 1236531 58.3 2.61 90.82 11 3420 3740877 100 0.719424460432 0.582985487093 3452 989.747103129 0.922778268304 vinifirmus
Marinobacter_sp_PWS21 263 507 232 100 0.09 0 4034607 7 32 32 517969 517969 126081 126081 688940 688938 60.32 4.03 90.87 11 3604 4034607 100 0.719424460432 0.603220145739 3632 1014.46585903 0.900211594339 other
Marinobacter_sp_X15_166B 263 507 232 100 0.09 0 3490661 2327 4 27 3483170 269427 872665 129197 3483170 545730 59.66 2.96 90.57 11 3328 3490661 99.2805755396 0 0.596574467927 3345 950.883408072 0.95827122714 hydrocarbo
Marinobacter_sp_tcs_11 263 507 232 100 0.5 0 4266557 0 51 51 213908 213908 83657 83657 592762 592762 57.12 3.15 91.53 11 3917 4266557 100 0.719424460432 0.571169915227 3934 996.781647178 0.922054949694 sedim
Marinobacter_subterrani_JG233 263 506 232 100 0.43 0 4453613 0 2 2 3410460 3410460 2226806 2226806 3410460 3410460 58.9 0.56 90.57 11 4176 4453613 98.5611510791 2.87769784173 0.588955304379 4193 965.320295731 0.941482791612 other
Marinobacter_vinifirmus_FB1 263 507 232 100 0.09 0 3836576 0 60 60 285212 285212 63942 63942 520919 520919 57.99 4.77 90.66 11 3540 3836576 100 1.43884892086 0.57985505826 3579 978.088851635 0.932863052889 vinifirmus
Marinobacter_zhejiangensis_CGMCC_1_7061 263 507 232 99.89 0.37 0 4029256 10 12 13 990617 592761 335771 309942 1236377 1236377 57.72 3.1 90.97 11 3666 4029256 98.5611510791 0 0.577187642551 3668 1000.47628135 0.910341760365 sedim
