Igene	accession	hmmsource
CBM62	self-built	The_CBM62_module_od_Clostridium_thermocellum_Cthe_2193_protein_binds_galactose_moieties_found_on_xyloglucan,_arabinogalactan_and_galactomannan.
CBM63	self-built	The_cellulose-binding_module_from_a_cellulase_of_the_slime_mold_Dictyostelium_discoideum_has_been_experimentally_shown_to_bind_cellulose.
CBM64	unknown	unknown
CBM65	unknown	unknown
CBM66	unknown	unknown
CBM67	unknown	unknown
CBM68	unknown	unknown
CBM69	unknown	unknown
CBM70	unknown	unknown
CBM71	unknown	unknown
CBM72	unknown	unknown
CBM73	unknown	unknown
CBM74	unknown	unknown
CBM75	unknown	unknown
CBM76	unknown	unknown
CBM77	unknown	unknown
CBM78	unknown	unknown
CBM79	unknown	unknown
CBM8	unknown	unknown
CBM80	unknown	unknown
CBM9	pfam06452	Modules_of_approx._170_residues_found_so_far_only_in_xylanases._The_cellulose-binding_function_has_been_demonstrated_in_one_case.
CE1	pfam00756	acetyl_xylan_esterase_(EC_3.1.1.72);_cinnamoyl_esterase_(EC_3.1.1.-);_feruloyl_esterase_(EC_3.1.1.73);_carboxylesterase_(EC_3.1.1.1);_S-formylglutathione_hydrolase_(EC_3.1.2.12)
CE10	COG0657	arylesterase_(EC_3.1.1.-);__carboxyl_esterase_(EC_3.1.1.3);_acetylcholinesterase_(EC_3.1.1.7);_cholinesterase_(EC_3.1.1.8);_sterol_esterase_(EC_3.1.1.13);_brefeldin_A_esterase_(EC_3.1.1.-).
CE11	pfam03331	UDP-3-0-acyl_N-acetylglucosamine_deacetylase_(EC_3.5.1.-).
CE12	cd01821	pectin_acetylesterase_(EC_3.1.1.-);_rhamnogalacturonan_acetylesterase_(EC_3.1.1.-);_acetyl_xylan_esterase_(EC_3.1.1.72)
CE13	pfam03283	pectin_acetylesterase_(EC_3.1.1.-)
CE14	pfam02585	N-acetyl-1-D-myo-inosityl-2-amino-2-deoxy-alpha-D-glucopyranoside_deacetylase_(EC_3.5.1.89);_diacetylchitobiose_deacetylase_(EC_3.5.1.-);_mycothiol_S-conjugate_amidase_(EC_3.5.1.-)
CE15	self-built	4-O-methyl-glucuronoyl_methylesterase_(EC_3.1.1.-)
CE16	cd01846	acetylesterase_(EC_3.1.1.6)_active_on_various_carbohydrate_acetyl_esters
CE2	cd01831	acetyl_xylan_esterase_(EC_3.1.1.72).
CE3	cd01833	acetyl_xylan_esterase_(EC_3.1.1.72).
CE4	pfam01522	acetyl_xylan_esterase_(EC_3.1.1.72);__chitin_deacetylase_(EC_3.5.1.41);_chitooligosaccharide_deacetylase_(EC_3.5.1.-);_peptidoglycan_GlcNAc_deacetylase_(EC_3.5.1.-);_peptidoglycan_N-acetylmuramic_acid_deacetylase_(EC_3.5.1.-).
CE5	pfam01083	acetyl_xylan_esterase_(EC_3.1.1.72);_cutinase_(EC_3.1.1.74)
CE6	pfam03629	acetyl_xylan_esterase_(EC_3.1.1.72).
CE7	pfam05448	acetyl_xylan_esterase_(EC_3.1.1.72);_cephalosporin-C_deacetylase_(EC_3.1.1.41).
CE8	pfam01095	pectin_methylesterase_(EC_3.1.1.11).
CE9	cd00854	N-acetylglucosamine_6-phosphate_deacetylase_(EC_3.5.1.25);_N-acetylgalactosamine-6-phosphate_deacetylase_(EC_3.5.1.80).
cohesin	pfam00963	unknown
dockerin	pfam00404	unknown
GH1	pfam00232	beta-glucosidase_(EC_3.2.1.21);_beta-galactosidase_(EC_3.2.1.23);_beta-mannosidase_(EC_3.2.1.25);_beta-glucuronidase_(EC_3.2.1.31);_beta-D-fucosidase_(EC_3.2.1.38);_phlorizin_hydrolase_(EC_3.2.1.62);_exo-beta-1,4-glucanase_(EC_3.2.1.74);_6-phospho-beta-galactosidase_(EC_3.2.1.85);_6-phospho-beta-glucosidase_(EC_3.2.1.86);_strictosidine_beta-glucosidase_(EC_3.2.1.105);_lactase_(EC_3.2.1.108);_amygdalin_beta-glucosidase_(EC_3.2.1.117);_prunasin_beta-glucosidase_(EC_3.2.1.118);_raucaffricine_beta-glucosidase_(EC_3.2.1.125);_thioglucosidase_(EC_3.2.1.147);_beta-primeverosidase_(EC_3.2.1.149);_isoflavonoid_7-O-beta-apiosyl-beta-glucosidase_(EC_3.2.1.161);_hydroxyisourate_hydrolase_(EC_3.-.-.-);_beta-glycosidase_(EC_3.2.1.-)
GH10	pfam00331	endo-1,4-beta-xylanase_(EC_3.2.1.8);_endo-1,3-beta-xylanase_(EC_3.2.1.32)
GH100	pfam04853	alkaline_and_neutral_invertase_(EC_3.2.1.26)
GH101	self-built	endo-alpha-N-acetylgalactosaminidase_(EC_3.2.1.97)
GH102	pfam03562	peptidoglycan_lytic_transglycosylase_(EC_3.2.1.-)
GH103	TIGR02283	peptidoglycan_lytic_transglycosylase_(EC_3.2.1.-)
GH104	cd00736	peptidoglycan_lytic_transglycosylase_(EC_3.2.1.-)
GH105	pfam07470	unsaturated_rhamnogalacturonyl_hydrolase_(EC_3.2.1.-)
GH106	self-built	alpha-L-rhamnosidase_(EC_3.2.1.40)
GH107	self-built	sulfated_fucan_endo-1,4-fucanase_(EC_3.2.1.-)
GH108	pfam05838	N-acetylmuramidase_(EC_3.2.1.17)
GH109	pfam01408	alpha-N-acetylgalactosaminidase_(EC_3.2.1.49)
GH11	pfam00457	xylanase_(EC_3.2.1.8)
GH110	self-built	alpha-galactosidase_(EC_3.2.1.22);_alpha-1,3-galactosidase_(EC_3.2.1.-)
GH111	self-built	keratan_sulfate_hydrolase_(endo-beta-N-acetylglucosaminidase)_(EC_3.2.1.-)
GH112	pfam09508	lacto-N-biose_phosphorylase_or_galacto-N-biose_phosphorylase_(EC_2.4.1.211);_D-galactosyl-1,4-L-rhamnose_phosphorylase_(EC_2.4.1.-)
GH113	self-built	beta-mannanase_(EC_3.2.1.78)
GH114	pfam03537	endo-alpha-1,4-polygalactosaminidase_(EC_3.2.1.109)
GH115	self-built	xylan_alpha-1,2-glucuronidase_(3.2.1.131);_alpha-(4-O-methyl)-glucuronidase_(3.2.1.-)
GH116	pfam04685	acid_beta-glucosidase_(EC_3.2.1.45);_beta-glucosidase_(EC_3.2.1.21);_beta-xylosidase_(EC_3.2.1.37)
GH117	pfam04616	alpha-1,3-L-neoagarooligosaccharide_hydrolase_(EC_3.2.1.-);_alpha-1,3-L-neoagarobiase_/_neoagarobiose_hydrolase_(EC_3.2.1.-)
GH118	self-built	beta-agarase_(EC_3.2.1.81)
GH119	self-built	alpha-amylase_(EC_3.2.1.1)
GH12	pfam01670	endoglucanase_(EC_3.2.1.4);_xyloglucan_hydrolase_(EC_3.2.1.151);_beta-1,3-1,4-glucanase_(EC_3.2.1.73);_xyloglucan_endotransglycosylase_(EC_2.4.1.207)
GH120	pfam07602	beta-xylosidase_(EC_3.2.1.37)
GH121	self-built	beta-L-arabinobiosidase_(EC_3.2.1.-)
GH122	COG4697	alpha-glucosidase_(EC_3.2.1.20)
GH123	self-built	glycosphingolipid_beta-N-acetylgalactosaminidase_(EC_3.2.1.-)
GH124	GH124	endoglucanase_(EC_3.2.1.4)
GH125	pfam06824	exo-alpha-1,6-mannosidase_(EC_3.2.1.-)
GH126	unknown	unknown
GH127	unknown	unknown
GH128	unknown	unknown
GH129	unknown	unknown
GH13	pfam00128	alpha-amylase_(EC_3.2.1.1);_pullulanase_(EC_3.2.1.41);_cyclomaltodextrin_glucanotransferase_(EC_2.4.1.19);_cyclomaltodextrinase_(EC_3.2.1.54);_trehalose-6-phosphate_hydrolase_(EC_3.2.1.93);_oligo-alpha-glucosidase_(EC_3.2.1.10);_maltogenic_amylase_(EC_3.2.1.133);_neopullulanase_(EC_3.2.1.135);_alpha-glucosidase_(EC_3.2.1.20);_maltotetraose-forming_alpha-amylase_(EC_3.2.1.60);_isoamylase_(EC_3.2.1.68);_glucodextranase_(EC_3.2.1.70);_maltohexaose-forming_alpha-amylase_(EC_3.2.1.98);_maltotriose-forming_alpha-amylase_(EC_3.2.1.116);_branching_enzyme_(EC_2.4.1.18);_trehalose_synthase_(EC_5.4.99.16);_4-alpha-glucanotransferase_(EC_2.4.1.25);_maltopentaose-forming_alpha-amylase_(EC_3.2.1.-)_;_amylosucrase_(EC_2.4.1.4)_;_sucrose_phosphorylase_(EC_2.4.1.7);_malto-oligosyltrehalose_trehalohydrolase_(EC_3.2.1.141);_isomaltulose_synthase_(EC_5.4.99.11);_amino_acid_transporter.
GH130	unknown	unknown
GH131	unknown	unknown
GH132	unknown	unknown
GH133	unknown	unknown
GH134	unknown	unknown
GH135	unknown	unknown
GH14	pfam01373	beta-amylase_(EC_3.2.1.2)
GH15	pfam00723	glucoamylase_(EC_3.2.1.3);_glucodextranase_(EC_3.2.1.70);_alpha,alpha-trehalase_(EC_3.2.1.28)
GH16	cd00413	xyloglucan:xyloglucosyltransferase_(EC_2.4.1.207);_keratan-sulfate_endo-1,4-beta-galactosidase_(EC_3.2.1.103);_endo-1,3-beta-glucanase_(EC_3.2.1.39);_endo-1,3(4)-beta-glucanase_(EC_3.2.1.6);_licheninase_(EC_3.2.1.73);_beta-agarase_(EC_3.2.1.81);_kappa;-carrageenase_(EC_3.2.1.83);_xyloglucanase_(EC_3.2.1.151)
GH17	pfam00332	glucan_endo-1,3-beta-glucosidase_(EC_3.2.1.39);_glucan_1,3-beta-glucosidase_(EC_3.2.1.58);_licheninase_(EC_3.2.1.73);_beta-1,3-glucanosyltransglycosylase_(EC_2.4.1.-).
GH18	pfam00704	chitinase_(EC_3.2.1.14);_endo-beta-N-acetylglucosaminidase_(EC_3.2.1.96);_xylanase_inhibitor;_concanavalin_B;_narbonin
GH19	cd00325	chitinase_(EC_3.2.1.14).
GH2	COG3250	beta-galactosidase_(EC_3.2.1.23)_;_beta-mannosidase_(EC_3.2.1.25);_beta-glucuronidase_(EC_3.2.1.31);_mannosylglycoprotein_endo-beta-mannosidase_(EC_3.2.1.152);_exo-beta-glucosaminidase_(EC_3.2.1.165)
GH20	pfam00728	beta-hexosaminidase_(EC_3.2.1.52);_lacto-N-biosidase_(EC_3.2.1.140);_beta-1,6-N-acetylglucosaminidase)_(EC_3.2.1.-);_beta-6-SO3-N-acetylglucosaminidase_(EC_3.2.1.-)
GH22	pfam00062	lysozyme_type_C_(EC_3.2.1.17);_lysozyme_type_i_(EC_3.2.1.17);_alpha-lactalbumin
GH23	cd00254	lysozyme_type_G_(EC_3.2.1.17);_peptidoglycan_lyase_(EC_4.2.2.-)_also_known_in_the_literature_as_peptidoglycan_lytic_transglycosylase
GH24	cd00737	lysozyme_(EC_3.2.1.17)
GH25	pfam01183	lysozyme_(EC_3.2.1.17)
GH26	pfam02156	beta-mannanase_(EC_3.2.1.78);_beta-1,3-xylanase_(EC_3.2.1.32)
GH27	pfam02065	alpha-galactosidase_(EC_3.2.1.22);_alpha-N-acetylgalactosaminidase_(EC_3.2.1.49);_isomalto-dextranase_(EC_3.2.1.94);_beta-L-arabinopyranosidase_(EC_3.2.1.88)
GH28	pfam00295	polygalacturonase_(EC_3.2.1.15);_exo-polygalacturonase_(EC_3.2.1.67);_exo-polygalacturonosidase_(EC_3.2.1.82);_rhamnogalacturonase_(EC_3.2.1.-);_endo-xylogalacturonan_hydrolase_(EC_3.2.1.-);_rhamnogalacturonan_alpha-L-rhamnopyranohydrolase_(EC_3.2.1.40)
GH29	pfam01120	alpha-L-fucosidase_(EC_3.2.1.51)
GH3	pfam00933	beta-glucosidase_(EC_3.2.1.21);_xylan_1,4-beta-xylosidase_(EC_3.2.1.37);_beta-N-acetylhexosaminidase_(EC_3.2.1.52);_glucan_1,3-beta-glucosidase_(EC_3.2.1.58);_glucan_1,4-beta-glucosidase_(EC_3.2.1.74);_exo-1,3-1,4-glucanase_(EC_3.2.1.-);_alphalpha-L-arabinofuranosidase_(EC_3.2.1.55).
GH30	COG5520	glucosylceramidase_(EC_3.2.1.45);_beta-1,6-glucanase_(EC_3.2.1.75);_beta-xylosidase_(EC_3.2.1.37);_beta-fucosidase_(EC_3.2.1.38);_beta-glucosidase_(3.2.1.21);_endo-beta-1,6-galactanase_(EC:3.2.1.164)
GH31	pfam01055	alpha-glucosidase_(EC_3.2.1.20);_alpha-1,3-glucosidase_(EC_3.2.1.84);_sucrase-isomaltase_(EC_3.2.1.48)_(EC_3.2.1.10);_alpha-xylosidase_(EC_3.2.1.-);_alpha-glucan_lyase_(EC_4.2.2.13);_isomaltosyltransferase_(EC_2.4.1.-).
GH32	pfam00251	invertase_(EC_3.2.1.26);_endo-inulinase_(EC_3.2.1.7);_beta-2,6-fructan_6-levanbiohydrolase_(EC_3.2.1.64);_endo-levanase_(EC_3.2.1.65);_exo-inulinase_(EC_3.2.1.80);_fructan_beta-(2,1)-fructosidase/1-exohydrolase_(EC_3.2.1.153);_fructan_beta-(2,6)-fructosidase/6-exohydrolase_(EC_3.2.1.154);_sucrose:sucrose_1-fructosyltransferase_(EC_2.4.1.99);_fructan:fructan_1-fructosyltransferase_(EC_2.4.1.100);_sucrose:fructan_6-fructosyltransferase_(EC_2.4.1.10);_fructan:fructan_6G-fructosyltransferase_(EC_2.4.1.243);_levan_fructosyltransferase_(EC_2.4.1.-)
GH33	cd00260	sialidase_or_neuraminidase_(EC_3.2.1.18);_trans-sialidase_(EC_2.4.1.-);_2-keto-3-deoxynononic_acid_sialidase_(EC_3.2.1.-)
GH34	pfam00064	sialidase_or_neuraminidase_(EC_3.2.1.18)
GH35	pfam01301	beta-galactosidase_(EC_3.2.1.23);_exo-beta-glucosaminidase_(EC_3.2.1.165)
GH36	COG3345	alpha-galactosidase_(EC_3.2.1.22);_alpha-N-acetylgalactosaminidase_(EC_3.2.1.49);_stachyose_synthase_(EC_2.4.1.67);_raffinose_synthase_(EC_2.4.1.82)
GH37	pfam01204	alpha,alpha-trehalase_(EC_3.2.1.28).
GH38	pfam01074	alpha-mannosidase_(EC_3.2.1.24)_;_mannosyl-oligosaccharide_alpha-1,3-1,6-mannosidase_(EC_3.2.1.114);_mannosyl-oligosaccharide_alpha-1,3-mannosidase_(EC_3.2.1.-)
GH39	self-built	alpha-L-iduronidase_(EC_3.2.1.76);_beta-xylosidase_(EC_3.2.1.37).
