samples	total_length	percent_completion	percent_redundancy	gc_content	num_genes	avg_gene_length	num_genes_per_kb
Marinobacter_pelagius_CGMCC_1_6775	3800146	99.2805755396	0.0	0.593815342884	3515	990.588904694	0.924964461892
Marinobacter_persicus_IBRC_M_10445	3158780	100.0	2.15827338129	0.583683771335	2945	985.723599321	0.932321972407
Marinobacter_psychrophilus_20041	3998597	100.0	0.719424460432	0.53844861085	3597	987.193494579	0.899565522607
Marinobacter_salarius_SMR5	4630160	99.2805755396	4.31654676259	0.569880522487	4272	991.803370787	0.92264630164
Marinobacter_salexigens_strain_HJR7	3820421	99.2805755396	0.0	0.537063323649	3460	1007.03757225	0.905659350108
Marinobacter_salinus_Hb8	4121005	98.5611510791	0.0	0.559077458047	3780	996.621428571	0.917251981009
Marinobacter_santoriniensis_NKSG1	4033468	99.2805755396	0.0	0.583294822222	3729	994.33226066	0.924514586455
Marinobacter_segnicrescens_CGMCC_1_6489	4218891	100.0	2.87769784173	0.59218066409	3934	964.740213523	0.932472538399
Marinobacter_sp_AC_23	4149715	100.0	3.59712230216	0.538543750151	4440	840.961486486	1.06995299677
Marinobacter_sp_ANT_B65	4173840	99.2805755396	0.0	0.536538207203	3822	997.831240188	0.915703524812
Marinobacter_sp_BSs20148	4063864	100.0	0.0	0.541346856096	3694	978.587980509	0.908987111773
Marinobacter_sp_C18	4934532	98.5611510791	5.75539568345	0.568876555847	4591	980.016554128	0.930382050415
Marinobacter_sp_C1S70	4126405	100.0	0.719424460432	0.573082622767	3848	983.771569647	0.932530859186
Marinobacter_sp_CP1	4768422	98.5611510791	4.31654676259	0.569243871453	4394	981.432180246	0.921478845622
Marinobacter_sp_CPC8	4656670	98.5611510791	4.31654676259	0.557028501932	4443	962.910871033	0.954115279803
Marinobacter_sp_DG879	4469255	98.5611510791	5.03597122302	0.571922165999	4157	976.247774838	0.930132650744
Marinobacter_sp_DSM_26291	4492204	99.2805755396	3.59712230216	0.569766199398	4154	990.11482908	0.924713125228
Marinobacter_sp_DSM_26671	4867885	98.5611510791	2.87769784173	0.570664304294	4458	997.825706595	0.915798134097
Marinobacter_sp_ELB17	4894744	99.2805755396	3.59712230216	0.543366312927	4653	933.941972921	0.950611513084
Marinobacter_sp_EN3	3979725	100.0	0.719424460432	0.574278373506	3722	980.600214938	0.935240500286
Marinobacter_sp_ES_042	3936136	98.5611510791	0.0	0.572353699161	3571	1008.59059087	0.907234912615
Marinobacter_sp_ES_048	4063301	99.2805755396	0.0	0.568656124663	3754	983.570058604	0.923879377875
Marinobacter_sp_ES_1	3559739	100.0	0.719424460432	0.586209831676	3360	968.059821429	0.943889425601
Marinobacter_sp_EVN1	4301017	100.0	0.0	0.571764073474	4017	982.044809559	0.933965152893
Marinobacter_sp_EhC06	4620179	99.2805755396	2.15827338129	0.572052172072	4235	996.920188902	0.91663115217
Marinobacter_sp_EhN04	4619018	99.2805755396	2.15827338129	0.572048958596	4236	996.462464589	0.917078045593
Marinobacter_sp_FDB33	4199790	100.0	2.15827338129	0.573166326686	3912	976.457822086	0.931475145186
Marinobacter_sp_HK15	4402595	99.2805755396	3.59712230216	0.571872096042	4046	998.581067721	0.919003451374
Marinobacter_sp_HL_58	4291518	99.2805755396	3.59712230216	0.575560908751	3895	1001.17740693	0.90760425565
Marinobacter_sp_IN6	5207492	98.5611510791	6.47482014388	0.544596155283	5246	916.103698056	1.00739473052
Marinobacter_sp_LQ44	4322708	99.2805755396	2.15827338129	0.571599793463	4009	980.809927663	0.927427899363
Marinobacter_sp_LV10MA510_1	4447234	99.2805755396	2.87769784173	0.545746861982	4245	925.987985866	0.954525891824
Marinobacter_sp_LV10R510_11A	4436489	99.2805755396	0.719424460432	0.536682047448	4279	927.262911895	0.964501433453
Marinobacter_sp_LV10R510_8	4333333	99.2805755396	0.0	0.538997579923	4244	914.217483506	0.979384690722
Marinobacter_sp_LV10R520_4	4421958	99.2805755396	6.47482014388	0.545510156361	4187	929.721996656	0.946865619257
Marinobacter_sp_LVR2A5A20	4663413	99.2805755396	0.719424460432	0.53812154317	4529	917.78737028	0.971177118561
Marinobacter_sp_MCTG268	4449396	98.5611510791	8.63309352518	0.569877349645	4098	989.802342606	0.921023887287
Marinobacter_sp_N4	4340695	99.2805755396	2.15827338129	0.572510341802	3997	992.268951714	0.920820283388
Marinobacter_sp_P4B1	3740877	100.0	0.719424460432	0.582985487093	3452	989.747103129	0.922778268304
Marinobacter_sp_PWS21	4034607	100.0	0.719424460432	0.603220145739	3632	1014.46585903	0.900211594339
Marinobacter_sp_UBA2698	4210793	99.2805755396	2.87769784173	0.556473419225	3802	990.059968438	0.902917811443
Marinobacter_sp_UBA3604	4149022	95.6834532374	3.59712230216	0.573251927289	3824	997.006537657	0.921662984674
Marinobacter_sp_UBA4489	4319331	84.1726618705	4.31654676259	0.573378337797	4023	979.46383296	0.931394236746
Marinobacter_sp_X15_166B	3490661	99.2805755396	0.0	0.596574467927	3345	950.883408072	0.95827122714
Marinobacter_sp_YWL01	4847855	99.2805755396	17.2661870504	0.556642061283	5183	855.432953888	1.06913263701
Marinobacter_sp_tcs_11	4266557	100.0	0.719424460432	0.571169915227	3934	996.781647178	0.922054949694
Marinobacter_subterrani_JG233	4453613	98.5611510791	2.87769784173	0.588955304379	4193	965.320295731	0.941482791612
Marinobacter_vinifirmus_FB1	3836576	100.0	1.43884892086	0.57985505826	3579	978.088851635	0.932863052889
Marinobacter_zhejiangensis_CGMCC_1_7061	4029256	98.5611510791	0.0	0.577187642551	3668	1000.47628135	0.910341760365
