Bin_Id	Marker_lineage	genomes	markers	marker_sets	Completeness	Contamination	Strain_heterogeneity	Genome_size	ambiguous_bases	scaffolds	contigs	N50	N50contigs	Mean_scaffold_length	Mean_contig_length	Longest_scaffold	Longest_contig)	GC	GC_std	Coding_density	Translation_table	predicted_genes
Marinobacter_lipoliticus_BF04_CF_4	c_Gammaproteobacteria_(UID4444)	263	506	232	100	0.54	0	3633797	4537	136	139	70489	70487	26719	26109	225700	225698	54.7	4.65	88.46	11	3757
Marinobacter_lipolyticus_SM19	c_Gammaproteobacteria_(UID4444)	263	506	232	100	0.07	0	4023208	150	43	43	201201	201201	93562	93562	683264	683264	56.75	3.78	91.7	11	3658
Marinobacter_lutaoensis_T5054	c_Gammaproteobacteria_(UID4444)	263	507	232	99.56	0.72	0	3827309	0	25	25	362020	362020	153092	153092	768595	768595	63.23	4.55	91.56	11	3460
Marinobacter_manganoxydans_MnI7_9	c_Gammaproteobacteria_(UID4444)	263	506	232	100	0	0	4549590	0	88	88	143400	143400	51699	51699	451260	451260	57.29	3.22	91.31	11	4219
Marinobacter_manganoxydans_UBA5690	c_Gammaproteobacteria_(UID4444)	263	506	232	86.06	0	0	3692003	38603	102	102	61079	61079	36196	36196	216509	216509	57.94	1.35	90.16	11	3438
Marinobacter_mobilis_GCMCC_1_7059	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.45	50	3971609	2635	26	29	348931	348931	152754	136861	542794	542794	58.41	3.25	90.74	11	3613
Marinobacter_nanhaiticus_D15_8W	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.69	0	5358309	0	14	14	2116327	2116327	382736	382736	2295149	2295149	58.53	2.02	87.8	11	4825
Marinobacter_nitrareduscens_AK21	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.09	0	3890033	0	22	22	552815	552815	176819	176819	969006	969006	56.66	1.97	92.31	11	3514
Marinobacter_pelagius_CGMCC_1_6775	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.09	0	3800146	0	16	16	508037	508037	237509	237509	929368	929368	59.38	4.49	91.17	11	3490
Marinobacter_persicus_IBRC_M_10445	c_Gammaproteobacteria_(UID4444)	263	507	232	99.57	0	0	3158780	1065	24	25	253034	253034	131615	126308	421549	421549	58.37	4.07	91.35	11	2917
Marinobacter_psychrophilus_20041	c_Gammaproteobacteria_(UID4444)	263	505	231	99.99	0	0	3998597	0	1	1	3998597	3998597	3998597	3998597	3998597	3998597	53.84	0	89.06	11	3657
Marinobacter_salarius_R9SW1	c_Gammaproteobacteria_(UID4444)	263	506	232	95.48	0.07	0	4616532	0	1	1	4616532	4616532	4616532	4616532	4616532	4616532	57.08	0	89.43	11	5438
Marinobacter_salarius_SMR5	c_Gammaproteobacteria_(UID4444)	263	506	232	100	0.56	0	4630160	0	2	2	4386892	4386892	2315080	2315080	4386892	4386892	56.99	2.35	91.43	11	4287
Marinobacter_salarius_UBA1133	c_Gammaproteobacteria_(UID4444)	263	506	232	95.46	0.29	50	4352927	14478	85	85	137873	137873	51210	51210	268281	268281	57.3	1.84	90.56	11	4053
Marinobacter_salexigens_strain_HJR7	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.11	0	3820421	0	30	30	506073	506073	127347	127347	1079339	1079339	53.71	5.81	91.26	11	3472
Marinobacter_salinus_Hb8	c_Gammaproteobacteria_(UID4444)	263	506	232	100	0.52	33.33	4121005	0	1	1	4121005	4121005	4121005	4121005	4121005	4121005	55.91	0	91.51	11	3803
Marinobacter_santoriniensis_NKSG1	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.3	50	4033468	0	41	41	293792	293792	98377	98377	1154882	1154882	58.33	3.27	91.55	11	3709
Marinobacter_segnicrescens_CGMCC_1_6489	c_Gammaproteobacteria_(UID4444)	263	506	232	100	1.39	0	4218891	1960	85	89	207185	156014	49634	47381	601757	601757	59.22	4.81	89.52	11	3915
Marinobacter_similis_A3d10	c_Gammaproteobacteria_(UID4444)	263	506	232	94.58	0	0	3975896	0	1	1	3975896	3975896	3975896	3975896	3975896	3975896	57.6	0	89.67	11	4643
Marinobacter_sp_34_60_7	c_Gammaproteobacteria_(UID4444)	263	507	232	74.96	3.05	16.67	2832268	1812	1005	1042	3404	3263	2818	2716	16248	16248	59.85	2.64	90.85	11	3416
Marinobacter_sp_AC_23	c_Gammaproteobacteria_(UID4444)	263	507	232	98.98	0.73	40	4149715	0	105	105	88361	88361	39521	39521	557029	557029	53.85	2.36	89.97	11	4494
Marinobacter_sp_ANT_B65	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.9	0	4173840	72	8	8	2216721	2216700	521730	521721	2216721	2216700	53.65	1.75	91.2	11	3819
Marinobacter_sp_BSs20148	c_Gammaproteobacteria_(UID4444)	263	505	231	100	0	0	4063864	0	1	1	4063864	4063864	4063864	4063864	4063864	4063864	54.13	0	89.2	11	3755
Marinobacter_sp_C18	c_Gammaproteobacteria_(UID4444)	263	506	232	100	0.5	0	4934532	0	42	42	227222	227222	117488	117488	595131	595131	56.89	2.84	91.11	11	4604
Marinobacter_sp_C1S70	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0	0	4126405	0	105	105	150583	150583	39299	39299	480891	480891	57.31	4.03	91.46	11	3833
Marinobacter_sp_CP1	c_Gammaproteobacteria_(UID4444)	263	506	232	100	0.46	0	4768422	0	1	1	4768422	4768422	4768422	4768422	4768422	4768422	56.92	0	90.36	11	4406
Marinobacter_sp_DSM_26291	c_Gammaproteobacteria_(UID4444)	263	506	232	100	0.07	0	4492204	0	53	53	167159	167159	84758	84758	524431	524431	56.98	2.78	91.43	11	4156
Marinobacter_sp_DSM_26671	c_Gammaproteobacteria_(UID4444)	263	506	232	100	0.22	0	4867885	2720	77	82	226374	184746	63219	59331	515445	377835	57.07	3.7	90.48	11	4494
Marinobacter_sp_EhC06	c_Gammaproteobacteria_(UID4444)	263	506	232	100	0.43	0	4620179	6	38	38	539878	539878	121583	121583	1298909	1298909	57.21	3.47	91.23	11	4236
Marinobacter_sp_EhN04	c_Gammaproteobacteria_(UID4444)	263	506	232	100	0.43	0	4619018	13	38	38	539908	539908	121553	121552	1298944	1298944	57.2	3.89	91.23	11	4239
Marinobacter_sp_ELB17	c_Gammaproteobacteria_(UID4444)	263	506	232	98.42	0.76	20	4894744	0	75	75	179626	179626	65263	65263	570228	570228	54.34	2.09	88.97	11	4724
Marinobacter_sp_EN3	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.07	0	3979725	0	106	106	212596	212596	37544	37544	788953	788953	57.43	5.06	91.39	11	3704
Marinobacter_sp_ES_042	c_Gammaproteobacteria_(UID4444)	263	506	232	100	0	0	3936136	0	1	1	3936136	3936136	3936136	3936136	3936136	3936136	57.24	0	91.43	11	3583
Marinobacter_sp_ES_048	c_Gammaproteobacteria_(UID4444)	263	506	232	100	0	0	4063301	0	2	2	2386308	2386308	2031650	2031650	2386308	2386308	56.87	0.08	90.8	11	3764
Marinobacter_sp_ES_1	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.09	0	3559739	0	117	117	86139	86139	30425	30425	375517	375517	58.62	4.74	90.85	11	3329
Marinobacter_sp_ESRF_bin10	k_Bacteria_(UID203)	5449	104	58	67.9	5.17	100	3439775	0	579	579	8472	8472	5940	5940	103545	103545	57	2.23	91.34	11	3613
Marinobacter_sp_ESRF_bin16	c_Gammaproteobacteria_(UID4444)	263	506	232	80.65	17.99	89.32	4737964	0	848	848	8582	8582	5587	5587	178328	178328	57.44	2.24	91.06	11	5045
Marinobacter_sp_ESRF_bin25	k_Bacteria_(UID203)	5449	104	58	43.28	0	0	1743645	0	199	199	13631	13631	8762	8762	73987	73987	57.43	1.64	91.95	11	1719
Marinobacter_sp_EVN1	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.79	0	4301017	0	71	71	273738	273738	60577	60577	738833	738833	57.18	4.53	91.37	11	3991
Marinobacter_sp_FDB33	c_Gammaproteobacteria_(UID4444)	263	506	232	100	0.07	0	4199790	16	57	57	214759	214756	73680	73680	975978	975975	57.32	3.96	90.65	11	3894
Marinobacter_sp_Hex_13	c_Gammaproteobacteria_(UID4444)	263	506	232	95.12	1.18	16.67	4466715	0	95	95	63875	63875	47018	47018	257386	257386	56.96	2.27	91.66	11	4154
Marinobacter_sp_HK15	c_Gammaproteobacteria_(UID4444)	263	506	232	100	0.07	0	4402595	198	32	32	861427	861427	137581	137581	1682213	1682213	57.19	3.45	91.7	11	4057
Marinobacter_sp_HL_58	c_Gammaproteobacteria_(UID4444)	263	506	232	99.57	0.66	0	4291518	0	1	1	4291518	4291518	4291518	4291518	4291518	4291518	57.56	0	90.68	11	3894
Marinobacter_sp_LQ44	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0	0	4322708	0	89	89	113974	113974	48569	48569	459970	459970	57.16	2.79	90.82	11	4012
Marinobacter_sp_LV10MA510_1	c_Gammaproteobacteria_(UID4444)	263	506	232	100	1.2	20	4447234	0	1	1	4447234	4447234	4447234	4447234	4447234	4447234	54.57	0	88.87	11	4327
Marinobacter_sp_LV10R510_11A	c_Gammaproteobacteria_(UID4444)	263	507	232	99.57	0.92	0	4436489	0	1	1	4436489	4436489	4436489	4436489	4436489	4436489	53.67	0	89.46	11	4320
Marinobacter_sp_LV10R510_8	c_Gammaproteobacteria_(UID4444)	263	507	232	99.57	0.11	0	4333333	0	1	1	4333333	4333333	4333333	4333333	4333333	4333333	53.9	0	89.54	11	4272
Marinobacter_sp_LV10R520_4	c_Gammaproteobacteria_(UID4444)	263	506	232	100	2.06	37.5	4421958	0	1	1	4421958	4421958	4421958	4421958	4421958	4421958	54.55	0	88.4	11	4262
Marinobacter_sp_LVR2A5A20	c_Gammaproteobacteria_(UID4444)	263	507	232	100	1.1	0	4663413	0	1	1	4663413	4663413	4663413	4663413	4663413	4663413	53.81	0	89.12	11	4573
Marinobacter_sp_MCTG268	c_Gammaproteobacteria_(UID4444)	263	506	232	99.42	1.31	90.91	4449396	0	14	14	726769	726769	317814	317814	2015764	2015764	56.99	1.06	91.11	11	4111
Marinobacter_sp_N4	c_Gammaproteobacteria_(UID4444)	263	506	232	100	0.43	0	4340695	59	61	61	166663	166663	71158	71157	548994	548994	57.25	2.51	91.15	11	3985
Marinobacter_sp_P4B1	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.09	0	3740877	0	15	15	378721	378721	249391	249391	1236531	1236531	58.3	2.61	90.82	11	3420
Marinobacter_sp_PWS21	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.09	0	4034607	7	32	32	517969	517969	126081	126081	688940	688938	60.32	4.03	90.87	11	3604
Marinobacter_sp_REDSEA_S21_B2N3_ASM162695v1	c_Gammaproteobacteria_(UID4444)	263	506	232	88.75	2.59	83.33	4372218	294	262	264	33177	32863	16687	16560	193647	193647	57.01	2.89	91.38	11	4268
Marinobacter_sp_REDSEA_S27_B10_ASM162679v1	k_Bacteria_(UID203)	5449	104	58	64.83	0	0	3266366	1865	500	548	§7667	7207	6532	5957	44053	44053	57.24	2.35	90.57	11	3658
Marinobacter_sp_REDSEA_S33_B14N21_ASM162680v1	o_Sphingomonadales_(UID3310)	26	569	293	57.47	8.31	4	2659445	437	609	625	4563	4502	4366	4254	17017	17017	58.57	2.63	91.2	11	3163
Marinobacter_sp_REDSEA_S15_B16_ASM162683v1	c_Gammaproteobacteria_(UID4444)	263	506	232	72.36	0.89	66.67	2885464	1274	527	568	5846	5438	5475	5077	26993	26993	57.64	1.96	90.82	11	3403
Marinobacter_sp_ARS1015	c_Gammaproteobacteria_(UID4444)	263	507	232	64.25	3.84	78.95	2488532	10927	177	177	15087	15087	14059	14059	63138	63138	58.08	3.12	91.54	11	2472
Marinobacter_sp_CPC48	c_Gammaproteobacteria_(UID4444)	263	507	232	96.98	7.89	95.45	4321600	16151	181	181	33401	33401	23876	23876	164569	164569	57.25	2.38	91.43	11	4103
Marinobacter_sp_CPC8	c_Gammaproteobacteria_(UID4444)	263	506	232	99.25	0.14	0	4656670	9371	95	95	97038	97038	49017	49017	219416	219416	55.7	9.69	91.28	11	4407
Marinobacter_sp_EAC19	c_Gammaproteobacteria_(UID4444)	263	507	232	55.49	1.1	88.89	2133305	1701	156	156	14218	14218	13675	13675	42876	42876	58.01	1.68	91.67	11	2073
Marinobacter_sp_EAC50	c_Gammaproteobacteria_(UID4444)	263	507	232	97.81	1.35	50	4027594	9003	69	69	80102	80102	58370	58370	321970	321970	57.53	1.91	91.47	11	3704
Marinobacter_sp_EAC713	c_Gammaproteobacteria_(UID4444)	263	506	232	82.64	6.84	85.71	3008567	22254	90	90	46391	46391	33428	33428	98563	98563	58.03	1.2	92.08	11	2846
Marinobacter_sp_IN15	c_Gammaproteobacteria_(UID4444)	263	507	232	81.91	3.04	71.43	2744654	6934	297	297	10059	10059	9241	9241	41496	41496	57.17	4.51	91.58	11	2759
Marinobacter_sp_IN6	c_Gammaproteobacteria_(UID4444)	263	506	232	99.54	7.76	93.94	5207492	15744	151	151	60355	60355	34486	34486	182507	182507	54.46	10.99	91.52	11	5151
Marinobacter_sp_NORP151	c_Gammaproteobacteria_(UID4444)	263	506	232	63.31	2.23	42.86	2220696	84	35	35	88976	88976	63448	63448	228265	228265	57.03	1.61	91.71	11	2080
Marinobacter_sp_NORP75	c_Gammaproteobacteria_(UID4444)	263	506	232	87.79	3.79	21.05	4038503	892	95	95	64077	64077	42510	42510	177650	177650	57.41	1.61	91.38	11	3813
Marinobacter_sp_NP143	c_Gammaproteobacteria_(UID4444)	263	507	232	50.15	0.43	0	1443727	8703	67	67	27249	27249	21548	21548	59225	59225	58.52	1.67	92.12	11	1385
Marinobacter_sp_NP45	c_Gammaproteobacteria_(UID4444)	263	506	232	82.54	4.05	90	2922982	18527	96	96	41251	41251	30447	30447	96429	96429	57.78	1.52	91.36	11	2722
Marinobacter_sp_NP96	c_Gammaproteobacteria_(UID4444)	263	506	232	75.78	1.02	20	3358496	801	224	224	16742	16742	14993	14993	58476	58476	57.5	1.93	91.89	11	3285
Marinobacter_sp_SAT109	c_Gammaproteobacteria_(UID4444)	263	506	232	96.81	7.51	84	4574030	27602	70	70	85675	85675	65343	65343	353663	353663	56.95	1.77	91.34	11	4246
Marinobacter_sp_SP269	c_Gammaproteobacteria_(UID4444)	263	506	232	81.81	3.48	90.48	3110986	13526	93	93	39489	39489	33451	33451	115338	115338	57.5	1.29	91.83	11	2901
Marinobacter_sp_SP33	k_Bacteria_(UID203)	5449	104	58	56.9	0	0	3131133	9067	56	56	67468	67468	55913	55913	389288	389288	57.42	1.73	91.5	11	2917
Marinobacter_sp_SP36	c_Gammaproteobacteria_(UID4444)	263	507	232	64.09	0.96	80	2245559	12030	31	31	101558	101558	72437	72437	340004	340004	57.81	1.29	92.14	11	2090
Marinobacter_sp_T13_3	c_Gammaproteobacteria_(UID4444)	263	507	232	92.4	25.9	84.62	5129511	0	1265	1265	6275	6275	4054	4054	70933	70933	57.55	3.27	90.56	11	5725
Marinobacter_sp_tcs_11	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.5	0	4266557	0	51	51	213908	213908	83657	83657	592762	592762	57.12	3.15	91.53	11	3917
Marinobacter_sp_UBA1922	c_Gammaproteobacteria_(UID4444)	263	506	232	83.94	2.45	55.56	3809479	86806	427	901	11862	7284	8921	4131	56157	35924	57.71	1.95	86.11	11	3975
Marinobacter_sp_UBA2498	k_Bacteria_(UID203)	5449	104	58	78.45	3.45	0	4285523	75286	160	850	41762	10743	26784	4953	98796	40140	57.68	1.59	85.2	11	4283
Marinobacter_sp_UBA2504	k_Bacteria_(UID203)	5449	104	58	81.03	1.72	0	4646018	44163	150	586	55163	17363	30973	7852	201425	65541	57.29	2.07	87.98	11	4523
Marinobacter_sp_UBA2678	c_Gammaproteobacteria_(UID4444)	263	506	232	93.37	4.08	32.14	5099636	58180	249	562	46050	20455	20480	8970	174584	102421	57.17	2.08	88.83	11	4930
Marinobacter_sp_UBA2688	c_Gammaproteobacteria_(UID4444)	263	506	232	97.56	0.27	25	4256539	7611	32	107	328050	130548	133016	39709	521739	330975	57.24	1.48	91.04	11	3944
Marinobacter_sp_UBA2698	c_Gammaproteobacteria_(UID4444)	263	507	232	99.14	1.2	0	4210793	4407	34	68	223933	145015	123846	61858	432635	269899	55.65	1.09	89.17	11	3833
Marinobacter_sp_UBA3182	c_Gammaproteobacteria_(UID4444)	263	507	232	76.42	1.24	0	3560117	37044	80	579	73618	12832	44501	6084	256052	47556	55.54	1.53	84.3	11	3410
Marinobacter_sp_UBA3604	c_Gammaproteobacteria_(UID4444)	263	506	232	98.6	0.07	0	4149022	4858	63	85	116415	96927	65857	48754	332873	332873	57.33	1.19	91.54	11	3826
Marinobacter_sp_UBA4153	c_Gammaproteobacteria_(UID4444)	263	506	232	81.03	0.43	100	3660207	87619	343	621	14876	11016	10671	5752	65990	50337	57.71	1.7	87.57	11	3627
Marinobacter_sp_UBA4489	c_Gammaproteobacteria_(UID4444)	263	506	232	98.71	0.67	0	4319331	352	46	51	141247	141243	93898	84685	460948	419564	57.34	1.11	91.1	11	4030
Marinobacter_sp_UBA856	k_Bacteria_(UID203)	5449	104	58	75.86	0	0	3068412	42702	100	240	46567	28809	30684	12607	121286	113156	64.04	1.78	89.53	11	2789
Marinobacter_sp_X15_166B	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.09	0	3490661	2327	4	27	3483170	269427	872665	129197	3483170	545730	59.66	2.96	90.57	11	3328
Marinobacter_sp_YWL01	c_Gammaproteobacteria_(UID4444)	263	506	232	100	5.98	0	4847855	0	965	965	438740	438740	5023	5023	821054	821054	55.66	6.21	90.87	11	5103
Marinobacter_sp_34_60_7	c_Gammaproteobacteria_(UID4444)	263	507	232	74.96	3.05	16.67	2832268	1812	1005	1005	3404	3404	2818	2818	16248	16248	59.85	2.64	90.85	11	3416
Marinobacter_subterrani_JG233	c_Gammaproteobacteria_(UID4444)	263	506	232	100	0.43	0	4453613	0	2	2	3410460	3410460	2226806	2226806	3410460	3410460	58.9	0.56	90.57	11	4176
Marinobacter_vinifirmus_FB1	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.09	0	3836576	0	60	60	285212	285212	63942	63942	520919	520919	57.99	4.77	90.66	11	3540
Marinobacter_zhejiangensis_CGMCC_1_7061	c_Gammaproteobacteria_(UID4444)	263	507	232	99.89	0.37	0	4029256	10	12	13	990617	592761	335771	309942	1236377	1236377	57.72	3.1	90.97	11	3666
Marinobacter_sp_DG879	c_Gammaproteobacteria_(UID4444)	263	506	232	99.89	1.40	0	4469255	0	96	96	238180	238180	46554	46554	772242	772242	57.19	3.54	90.53	11	4135
