"Marinobacter_adhaerens_HP15" "Marinobacter_sp_tcs_11" "Marinobacter_excellens_HL_55" "Marinobacter_sp_UBA4489" "Marinobacter_sp_CPC8" "Marinobacter_sp_UBA3604" "Marinobacter_salarius_SMR5" "Marinobacter_sp_UBA2698" "Marinobacter_sp_BSs20148" "Marinobacter_sp_ES_042" "Marinobacter_sp_DSM_26671" "Marinobacter_santoriniensis_NKSG1" "Marinobacter_sp_ES_048" "Marinobacter_sp_AC_23" "Marinobacter_sp_EN3" "Marinobacter_subterrani_JG233" "Marinobacter_zhejiangensis_CGMCC_1_7061" "Marinobacter_nitrareduscens_AK21" "Marinobacter_algicola_DG893" "Marinobacter_sp_DSM_26291" "Marinobacter_sp_EhN04" "Marinobacter_lipoliticus_BF04_CF_4" "Marinobacter_sp_IN6" "Marinobacter_sp_ELB17" "Marinobacter_mobilis_GCMCC_1_7059" "Marinobacter_dagiaonensis_CGMCC_1_9167" "Marinobacter_flavimaris" "Marinobacter_sp_HL_58" ".faa" "Marinobacter_sp_ES_1" "Marinobacter_sp_LV10R520_4" "Marinobacter_sp_LQ44" "Marinobacter_daepoensis_DSM_16072" "Marinobacter_sp_HK15" "Marinobacter_antarcticus_CGMCC1_10835" "Marinobacter_lutaoensis_T5054" "Marinobacter_sp_LV10R510_11A" "Marinobacter_sp_C1S70" "Marinobacter_hydrocarbonoclasticus_STW2" "Marinobacter_guineae_strain_M3B" "Marinobacter_excellens_LAMA_842" "Marinobacter_sp_FDB33" "Marinobacter_sp_P4B1" "Marinobacter_sp_DG879" "Marinobacter_adhaerens_strain_PBVC038" "Marinobacter_sp_CP1" "Marinobacter_sp_YWL01" "Marinobacter_sp_EVN1" "Marinobacter_psychrophilus_20041" "Marinobacter_sp_LV10MA510_1" "Marinobacter_sp_C18" "Marinobacter_sp_LV10R510_8" "Marinobacter_sp_MCTG268" "Marinobacter_aromaticivorans_strain_D15_8P" "Marinobacter_hydrocarbonoclasticus_ATCC_49840" "Marinobacter_manganoxydans_MnI7_9" "Marinobacter_sp_ANT_B65" "Marinobacter_sp_N4" "Marinobacter_pelagius_CGMCC_1_6775" "Marinobacter_segnicrescens_CGMCC_1_6489" "Marinobacter_nanhaiticus_D15_8W" "Marinobacter_persicus_IBRC_M_10445" "Marinobacter_lipolyticus_SM19" "Marinobacter_sp_LVR2A5A20" "Marinobacter_hydrocarbonoclasticus_ASM1536" "Marinobacter_salinus_Hb8" "Marinobacter_sp_X15_166B" "Marinobacter_vinifirmus_FB1" "Marinobacter_sp_PWS21" "Marinobacter_salexigens_strain_HJR7" "Marinobacter_sp_EhC06" "Marinobacter_guaonensis_CGCC_1_6294"
"Marinobacter_sp_DSM_26671" 96.54 80.68 79.13 97.74 79.8 79.94 79.58 70.56 75 96.1 100 79.95 93.55 80.04 80.68 87.37 73.9 80.97 79.6 79.8 93.61 76.19 97.21 74.82 74.05 73.36 97.75 79.66 79.31 80.49 75.01 80.42 78.63 79.62 81.08 78.56 79.69 80.49 80 88.25 80.12 81.2 80.06 82.5 92.92 97.52 96.72 80.34 74.67 74.89 79.95 79.59 80.04 80.45 80.26 97.33 80.24 93.8 82.65 73.72 70.79 78.64 80.49 79.32 80.87 83.65 72.36 80.19 78.85 79.61 93.61 87.04
"Marinobacter_santoriniensis_NKSG1" 79.96 78.75 77.79 80.14 76.78 77.12 77.18 69.75 73.59 80.01 79.95 100 80.05 77.14 78.98 80.24 73.29 79.79 77.12 77.09 80.09 74.85 80.08 73.54 73.62 72.29 79.94 76.95 76.74 78.73 73.75 78.57 77.96 77.22 77.98 79.38 77 78.84 78.44 80.23 78.31 78.58 78.58 78.89 80.26 80.17 79.88 78.92 73.45 73.94 77.02 76.93 77.18 77.72 78.64 80.18 77.49 80.4 83.13 72.38 70.39 77.09 78.27 76.89 78.64 80.16 71.73 78.47 77 76.99 80.09 80.27
"Marinobacter_sp_ES_048" 93.94 79.8 78.97 93.87 79.39 79.63 79.8 70.09 74.83 93.92 93.55 80.05 100 79.9 80.13 86.96 73.83 81.14 79.7 79.5 93.86 76.1 93.33 74.99 73.99 72.92 93.93 79.42 79.12 79.94 74.84 79.6 78.54 79.66 81.05 78.49 79.92 80.02 79.57 88.4 79.57 80.62 79.87 81.75 92.88 93.88 93.94 79.76 74.54 75.01 79.6 79.77 79.35 80.34 80 93.65 79.96 93.84 82.5 72.73 70.68 78.08 80.61 79.82 79.82 83.68 72.19 79.85 77.61 79.48 93.86 86.62
"Marinobacter_sp_AC_23" 79.79 77.37 76.71 80.06 76.68 76.89 76.93 69.66 76.04 80.24 80.04 77.14 79.9 100 77.71 79.83 72.64 78.06 76.86 76.99 79.82 77.57 79.82 76.7 72.74 71.57 79.91 76.76 76.52 77.88 76.76 77.01 76.67 77.08 88.27 76.18 89.1 77.65 77.12 80.3 77.08 77.72 77.69 78.53 80 79.94 79.88 77.3 76.03 76.95 76.94 88.93 76.87 86.88 77.44 80.08 86.14 80.3 79.02 71.96 69.44 75.82 77.62 88.9 77.39 79.97 72.82 77.42 76.48 86.85 79.82 79.35
"Marinobacter_sp_EN3" 80.27 97.29 82.51 80.59 77.26 77.52 77.34 69.75 74.24 80.55 80.68 78.98 80.13 77.71 100 79.79 73.41 79.06 77.21 77.33 80.76 75.31 80.17 73.84 73.42 72.57 80.4 77.34 76.72 86.1 74.34 84.68 87.24 77.21 78.03 78.2 77.08 98.04 84.55 80.12 84.42 78.88 85.32 78.88 80.58 80.73 80.35 97.7 73.78 74.28 77.29 77.05 77.03 78.34 97.87 80.71 77.79 80.59 80.83 73.07 70.25 80.9 78.24 76.97 97.53 79.45 72.26 85.5 77.17 77.62 80.76 80.31
"Marinobacter_subterrani_JG233" 87.25 79.58 78.6 87.32 78.92 79.15 79.18 70.3 75.01 87.12 87.37 80.24 86.96 79.83 79.79 100 73.65 80.92 79.22 79.19 87.68 76.18 87.22 75.23 73.93 73.17 87.33 79.33 78.95 80 74.76 79.57 78.65 79.41 80.79 78.62 79.55 79.84 79.69 89.29 79.75 80.43 79.63 81.4 87.28 87.4 87.21 79.59 74.92 74.99 79.4 79.38 79.19 79.99 79.73 87.39 79.91 87.81 82.27 73.19 70.98 77.79 80.38 79.31 79.93 82.98 72.55 79.67 78.02 79.22 87.72 85.76
"Marinobacter_zhejiangensis_CGMCC_1_7061" 73.67 73.25 72.57 73.73 73.78 73.99 74.06 70.13 70.57 73.57 73.9 73.29 73.83 72.64 73.41 73.65 100 73.65 74.04 73.97 73.45 72 73.7 70.7 84.8 71.29 73.57 73.86 73.57 73.74 70.53 73.11 73.07 74.11 73.28 73.35 72.55 73.6 73.14 73.63 73.22 74.28 73.65 73.44 73.97 73.8 73.64 73.1 70.66 70.96 74 72.43 74.16 72.92 73.32 73.95 72.81 73.97 73.89 71.43 70 72.8 74.04 72.41 73.26 73.69 72.93 73.6 75.09 72.37 73.46 74.03
"Marinobacter_nitrareduscens_AK21" 80.75 78.83 77.63 81.06 77.18 77.44 77.37 70.08 74.39 81.07 80.97 79.79 81.14 78.06 79.06 80.92 73.65 100 77.47 77.36 80.91 75.85 80.81 74.16 73.77 72.24 81.05 77.26 77.05 79.05 74.37 78.46 78.18 77.32 79.06 78.3 78.08 78.99 78.39 80.86 78.44 78.96 78.65 80.78 81.36 81.12 80.8 78.83 74.1 74.42 77.31 78.01 77.51 78.54 78.76 81.01 78.57 81.06 81.43 72.37 70.56 77.04 78.77 78.04 78.81 81.89 72.16 78.7 77.19 77.98 80.91 81.14
"Marinobacter_algicola_DG893" 79.55 76.93 76.16 79.63 95.41 95.76 96.06 71.16 73.98 79.36 79.6 77.12 79.7 76.86 77.21 79.22 74.04 77.47 100 95.82 79.51 74.85 79.21 73.71 74.24 73.08 79.54 86.38 95.78 77.46 73.64 77.05 76.01 96.19 77.88 75.96 76.62 77.13 76.93 79.58 77 81.02 77.44 78.39 79.93 79.6 79.41 77.05 73.41 73.9 95.69 76.49 95.6 77.12 76.85 79.39 77 79.52 78.68 73.14 70.88 75.85 80.56 76.84 76.84 79.28 72.79 77.34 77.89 76.52 79.55 79.05
"Marinobacter_sp_DSM_26291" 79.3 77.07 76.21 79.71 98 98.42 98.39 71.13 73.55 79.23 79.8 77.09 79.5 76.99 77.33 79.19 73.97 77.36 95.82 100 79.47 74.61 79.63 73.54 74.07 72.97 80 86.22 100 77.4 73.55 77.34 75.93 98.45 77.75 76.03 76.62 77.05 76.95 79.91 76.94 81.15 77.43 78.54 79.81 79.68 78.78 76.87 73.35 73.71 98.89 76.5 97.91 76.97 77 79.47 77.14 79.61 78.63 73.48 70.94 76.15 80.6 76.37 77.1 79.18 72.74 77.22 77.97 76.62 79.47 79.01
"Marinobacter_sp_EhN04" 93.83 80.62 79.31 93.85 79.21 79.46 79.67 70.49 74.91 93.52 93.61 80.09 93.86 79.82 80.76 87.68 73.45 80.91 79.51 79.47 100 76.26 93.55 74.79 73.92 73.43 93.86 79.72 79.05 80.67 74.99 80.25 78.86 79.61 81.18 78.58 79.78 80.35 79.93 88.59 80.27 80.99 80.1 81.72 93.89 93.7 93.77 80.55 74.59 75.16 79.77 79.54 79.39 80.72 80.62 93.94 80.25 95.98 82.64 73.55 70.74 78.54 80.62 79.73 80.58 83.95 72.55 80.18 78.22 79.7 100 87.32
"Marinobacter_lipoliticus_BF04_CF_4" 76.08 74.42 74.49 76.08 74.51 74.62 74.09 69.81 94.35 75.92 76.19 74.85 76.1 77.57 75.31 76.18 72 75.85 74.85 74.61 76.26 100 75.94 93.87 72.2 71.12 76.14 74.75 74.25 75.5 93.8 74.77 74.62 74.92 77.77 73.63 78.07 75.35 74.67 76.42 74.88 75.28 75.17 75.75 76.18 76.03 75.95 75.23 94.06 94.01 74.08 78.16 74.54 76.71 75.16 76.07 76.94 76.34 75.95 71.16 69.66 74.04 75.4 78.35 74.24 76.48 71.97 75.3 74.7 76.72 76.27 76.27
"Marinobacter_sp_IN6" 96.44 80.05 79.09 97.54 79.24 79.55 79.16 70.2 74.81 95.86 97.21 80.08 93.33 79.82 80.17 87.22 73.7 80.81 79.21 79.63 93.55 75.94 100 74.7 73.75 73.2 97.3 79.23 78.94 79.93 75.07 79.81 78.57 79.13 80.97 78.48 79.76 79.95 79.75 87.99 79.74 80.87 80.01 81.94 92.64 97.47 96.5 79.84 74.47 74.78 79.4 79.63 79.17 80.29 79.93 97.8 80.3 93.38 82.43 73.37 70.5 78.19 80.37 79.62 80.46 83.43 72.18 80.05 78.24 79.46 93.57 86.78
"Marinobacter_sp_ELB17" 74.92 73 73.19 75 73.36 73.63 73.09 68.14 94.79 74.87 74.82 73.54 74.99 76.7 73.84 75.23 70.7 74.16 73.71 73.54 74.79 93.87 74.7 100 70.7 70.08 75.26 73.4 73.29 74.54 93.69 73.62 73.37 73.86 76.76 72.61 77.44 74.08 73.42 75.3 73.67 74.15 74.24 74.77 74.98 74.96 74.91 73.67 94.61 93.63 73.07 77.18 73.33 75.5 73.79 74.87 75.49 75.07 74.88 69.52 68.01 72.86 73.81 77.61 73.06 75.29 70.74 74.27 73.4 75.48 74.73 74.94
"Marinobacter_mobilis_GCMCC_1_7059" 73.93 73.28 72.51 73.81 74.01 74.22 74.27 69.87 70.67 74.11 74.05 73.62 73.99 72.74 73.42 73.93 84.8 73.77 74.24 74.07 73.92 72.2 73.75 70.7 100 71.35 73.81 73.74 73.67 73.68 70.87 73.08 72.82 74.04 73.15 73.42 72.36 73.37 73 73.96 73.12 74.53 73.43 73.3 74.01 73.85 73.59 73 70.43 70.93 73.89 72.21 73.92 73.07 73.19 73.94 72.83 74.04 73.92 71.36 69.86 72.65 74.04 72.29 73.24 73.74 72.96 73.66 74.95 72.38 73.79 73.99
"Marinobacter_dagiaonensis_CGMCC_1_9167" 73 72.45 71.78 73.39 72.86 73.08 73.04 69.19 69.83 73.23 73.36 72.29 72.92 71.57 72.57 73.17 71.29 72.24 73.08 72.97 73.43 71.12 73.2 70.08 71.35 100 73.27 73.25 72.7 72.91 70.04 72.08 71.86 73.11 71.71 72.12 71.4 72.37 72.18 73.19 72.23 73.48 72.54 72.02 73.05 73.45 73.09 72.46 69.9 70.01 73 71.29 73.27 71.91 72.33 73.48 71.66 73.28 73 80.76 69.8 72.08 73.12 71.27 72.39 72.75 70.39 72.76 73.22 71.39 73.43 73.36
"Marinobacter_flavimaris" 97.18 80.78 79.24 97.87 79.16 79.47 79.42 70.55 75.17 96.57 97.75 79.94 93.93 79.91 80.4 87.33 73.57 81.05 79.54 80 93.86 76.14 97.3 75.26 73.81 73.27 100 79.8 79.56 80.48 75.19 80.37 78.78 79.4 81.33 78.5 79.85 80.34 80.07 88.41 80.07 81.39 80.26 81.9 92.96 97.71 96.74 80.11 74.81 75.08 79.6 79.74 79.62 80.54 80.41 97.27 80.31 93.59 82.63 73.69 70.82 78.39 80.48 79.57 80.47 83.79 72.57 80.22 78.65 79.64 93.86 87.02
"Marinobacter_sp_HL_58" 79.28 76.92 76.49 79.74 85.88 86.21 86.39 70.21 73.44 79.66 79.66 76.95 79.42 76.76 77.34 79.33 73.86 77.26 86.38 86.22 79.72 74.75 79.23 73.4 73.74 73.25 79.8 100 85.78 77.52 73.59 77.13 76.32 86.25 77.42 75.65 76.7 77.37 77.15 79.64 76.93 80.52 77 77.73 79.78 79.8 79.29 76.94 73.17 73.71 86.04 76.55 86.34 77.45 76.9 79.64 76.77 79.81 78.66 73.12 70.6 76.02 80.21 76.5 77.09 78.79 72.9 77.14 77.59 76.52 79.73 78.91
".faa" 78.75 76.56 75.7 79.11 97.76 98.2 98.35 70.84 72.98 78.57 79.31 76.74 79.12 76.52 76.72 78.95 73.57 77.05 95.78 100 79.05 74.25 78.94 73.29 73.67 72.7 79.56 85.78 100 76.81 73.15 77.03 75.47 98.49 77.36 75.47 76.31 76.79 76.55 79.71 76.36 80.8 77.06 78.21 79.21 79.08 78.22 76.48 73.04 73.22 98.83 76.07 97.6 76.34 76.57 78.99 76.61 79.29 78.18 72.82 70.68 75.66 80.2 76 76.77 78.65 71.84 76.74 77.51 76.19 79.05 78.66
"Marinobacter_sp_ES_1" 79.86 85.38 83.21 80.49 77.38 77.53 77.36 70.22 74.58 80.22 80.49 78.73 79.94 77.88 86.1 80 73.74 79.05 77.46 77.4 80.67 75.5 79.93 74.54 73.68 72.91 80.48 77.52 76.81 100 74.87 84.9 83.22 77.4 78.45 78.02 77.6 85.86 84.82 79.92 85.06 79.06 97.12 78.76 80.29 80.49 79.96 85.77 74.38 74.85 77.41 77.64 77.22 78.6 85.43 80.34 77.89 80.27 80.68 73.65 70.2 81.13 78.26 77.41 85.97 79.01 72.62 97.49 77.53 77.72 80.67 79.9
"Marinobacter_sp_LV10R520_4" 75.09 73.88 73.51 75.03 73.51 73.76 73.77 68.34 93.04 74.94 75.01 73.75 74.84 76.76 74.34 74.76 70.53 74.37 73.64 73.55 74.99 93.8 75.07 93.69 70.87 70.04 75.19 73.59 73.15 74.87 100 74.02 73.75 73.96 76.86 73.23 77.51 74.33 73.94 75.23 73.84 74.35 74.39 74.55 75.11 75.03 74.97 74.1 92.85 98.69 73.71 77.83 73.74 76.31 74.18 75.26 76.09 75.53 74.82 69.67 68.37 73.34 74.05 77.99 74.35 75.15 71.35 74.61 73.6 76.13 75.06 75.02
"Marinobacter_sp_LQ44" 79.53 84.48 86.4 80.36 77.03 77.22 77.07 69.89 73.85 80.01 80.42 78.57 79.6 77.01 84.68 79.57 73.11 78.46 77.05 77.34 80.25 74.77 79.81 73.62 73.08 72.08 80.37 77.13 77.03 84.9 74.02 100 82.03 77 77.84 77.2 76.7 84.44 95.94 79.74 96.67 78.73 84.71 78.47 79.95 80.69 79.61 84.34 73.48 73.88 77 76.65 77.04 77.75 84.26 80.53 77.19 79.97 80.09 73.4 70.03 80.71 77.95 76.71 84.61 79.06 71.63 85.17 77.27 77.08 80.25 79.62
"Marinobacter_daepoensis_DSM_16072" 78.63 86.99 81.18 78.91 75.77 76.03 76.1 69.04 73.56 78.83 78.63 77.96 78.54 76.67 87.24 78.65 73.07 78.18 76.01 75.93 78.86 74.62 78.57 73.37 72.82 71.86 78.78 76.32 75.47 83.22 73.75 82.03 100 76.02 77.38 77.1 76.5 87.36 82.02 78.63 82.31 77.62 82.94 77.51 78.97 78.94 78.57 87.03 73.26 73.71 75.82 76.32 75.97 77.33 87.05 78.84 76.75 78.97 79.47 72.21 69.58 79.43 77.06 76.34 86.9 78.25 71.96 82.7 76.08 76.6 78.85 78.9
"Marinobacter_sp_HK15" 79.49 76.86 76.08 79.83 97.77 98.12 98.88 70.91 73.73 79.44 79.62 77.22 79.66 77.08 77.21 79.41 74.11 77.32 96.19 98.45 79.61 74.92 79.13 73.86 74.04 73.11 79.4 86.25 98.49 77.4 73.96 77 76.02 100 77.93 75.99 76.84 77.08 76.85 79.63 76.95 81.1 77.36 78.42 79.81 79.79 79.29 76.8 73.5 73.94 98.78 76.62 98.03 77.32 76.83 79.32 77.12 79.6 78.54 73.13 71.12 76.04 80.64 76.92 76.92 79.3 72.76 77.27 77.8 76.77 79.6 78.99
"Marinobacter_antarcticus_CGMCC1_10835" 81.06 77.89 77.38 81.19 77.66 77.89 77.86 70.16 76.51 81.14 81.08 77.98 81.05 88.27 78.03 80.79 73.28 79.06 77.88 77.75 81.18 77.77 80.97 76.76 73.15 71.71 81.33 77.42 77.36 78.45 76.86 77.84 77.38 77.93 100 76.91 88.7 77.94 77.83 81.21 77.89 78.93 78.23 79.83 81.15 81.13 80.99 77.87 76.35 77.13 77.75 88.66 77.67 87.2 77.88 81.13 88.41 81.22 79.88 71.83 70.05 76.22 78.46 88.7 77.81 81.37 72.41 78.09 76.85 86.28 81.18 80.55
"Marinobacter_lutaoensis_T5054" 78.06 76.96 76.4 78.68 75.76 75.98 75.3 69.89 73.21 78.64 78.56 79.38 78.49 76.18 78.2 78.62 73.35 78.3 75.96 76.03 78.58 73.63 78.48 72.61 73.42 72.12 78.5 75.65 75.47 78.02 73.23 77.2 77.1 75.99 76.91 100 75.93 77.84 77.28 78.66 77.18 77.35 77.63 77.55 78.71 78.66 78.26 77.84 73 73.36 75.42 75.75 75.87 76.99 77.87 78.57 76.53 78.57 80.97 72.42 70.42 76.65 76.89 75.74 77.28 78.35 72.4 77.44 76.74 75.95 78.57 78.96
"Marinobacter_sp_LV10R510_11A" 79.5 76.9 76.69 79.95 76.4 76.69 76.87 69.84 76.31 80.05 79.69 77 79.92 89.1 77.08 79.55 72.55 78.08 76.62 76.62 79.78 78.07 79.76 77.44 72.36 71.4 79.85 76.7 76.31 77.6 77.51 76.7 76.5 76.84 88.7 75.93 100 76.97 76.94 80.15 76.89 77.75 77.24 78.47 79.86 79.86 79.61 76.88 75.96 77.42 76.55 99.1 76.62 86.09 77.03 79.73 86.47 79.97 78.76 71.6 69.7 75.51 77.71 97.61 76.73 79.66 72.4 77.15 75.88 86.19 79.77 79.47
