Habitat	IJSEM_year	article_doi	16S_rDNA_accession_number	DNA_GC_content_mol	oxygen_preference	mean_length_microns	mean_width_microns	motility	spore_production	Metabolism_assays	Genus_name	species_name	strain_name	pH_optimum_for_growth	pH_range_at_which_growth_occurred	temperature_optimum_for_growth_degC	temperature_range_at_which_growth_occurred_degC	optimal_NaCl_concentration_for_growth_	NaCl_concentration_range_at_which_growth_occurred_	pigment_production	cell_shape	cell_aggregation	article_first_page	culture_collection_codes	Sole_carbon_substrate_use	genome_accession_number	gram_status	If_'other'_was_chosen_above__please_enter_a_habitat_below	The_paper_included_Biolog_results
marine_sediment	2013	doi:_10.1099_ijs.0.040600_0	_AB445007	70.8	facultative_anaerobe	1.3	0.5	non_motile	not_indicated	catalase_positive	Paraoerskovia	marina	CTT_37	7.5	06_10_14	28	Oct_35	4	0_8	yes	rod	none	219	NBRC104352_DSM21750	arabinose__cellobiose__fructose__galactose__glucose__glycogen__maltose__mannose__sucrose__trehalose__xylose		positive		Yes
other	2010	10.1099_ijs.0.017533_0	_AB490807_	60.8_61	anaerobic	1_3.3	0.5_1	non_motile	no	aesculin_hydrolysis	Collinsella	tanakaei	YIT_12063	7	7	37	37	0	0	yes	rod	chain	2639	DSM22478_JCM16071	cellobiose__glucose__lactose__maltose__mannose__salicin__sucrose		positive	human_faeces	No
seawater	2010	10.1099_ijs.0.016147_0	_AB500095	43.8	aerobic	1.8_4.5	0.4_0.6	non_motile	not_indicated	catalase_positive__oxidase_positive	Marinicella	litoralis	KMM_3900	8.5_9.5	06_Nov	25_28	May_35	02_Mar	01_May	yes	rod	chain	1613	NRIC0758_JCM16154	adipate__arabinose__citric_acide_citrate__gluconic_acid__glucose__malate__maltose__mannitol__mannose__Tween_20__Tween_40__Tween_80		negative		No
other	2010	10.1099_ijs.0.018069_0	_AB500145	54	aerobic	01_Feb	0.7_1	non_motile	yes	catalase_positive	Thermosporothrix	hazakensis	SK20_1	7	5.4_8.7	50	31_58	0	0	yes	rod	chain	1794	JCM16142_ATCCBAA_1881	fructose__glucose__mannitol__raffinose__rhamnose__sucrose__xylose		positive	compost	No
freshwater_river__lake__pond	2010	10.1099_ijs.0.016980_0	_AB506456	59	facultative_anaerobe	0.8_2	0.4_0.6	motile__but_unspecified_structure	not_indicated	nitrate_reduction_to_nitrite__oxidase_positive	Sulfuricella_	denitrificans	skB26	7.5_8	06_Sep	22	0_28	0	0	yes	rod	chain	2862	NBRC105220_DSM22764			negative		No
other	2010	10.1099_ijs.0.018127_0	_AB514449	73	aerobic	01_Feb	0.3_0.5	non_motile	yes	aesculin_hydrolysis	Pseudonocardia	babensis	VN05A0561	7	7	28	Oct_45	0_3	0_3	yes	rod	chain	2336	VTCC_A_1757_NBRC105793	arabinose__arabitol__cellobiose__fructose__galactose__glucose__lactose__maltose__mannitol__melibiose__raffinose__rhamnose__salicin__sorbitol__sucrose__trehalose__xylitol__xylose		positive	plant_litter	No
hotspring	2012	10.1099_ijs.0.028654_0	_AB586707	63.4	aerobic	1.7_10.0	0.4	non_motile	no	acid_phosphatase__alkaline_phosphatase__nitrate_reduction_to_nitrite__oxidase_positive	Meiothermus	hypogaeus	AZM34c11	7.6	5.9_8.7	50	35_57	0_0.3	No_more_than_0.6	yes	rod	not_indicated	112	NBRC_106114_DSM_23238	asparagine__cellobiose__fructose__galactose__glucose__glutamic_acid__glycerol__lactose__maltose__mannose__melibiose__pyruvic_acid_pyruvate__sucrose__trehalose__xylose		negative		No
plant_associated	2012	10.1099_ijs.0.033019_0	_AB607860	70.2	aerobic	1.8	1.3	motile__but_unspecified_structure	no	catalase_positive	Methylobacterium	oxalidis	35a	Not_indicated	Not_indicated	Not_indicated	28_35	Not_required_for_growth	No_more_than_2	yes	rod	not_indicated	1647	DSM_24028_NBRC_107715	acetate__formic_acid__fructose__glutamic_acid__lactate__malonic_acid_malonate__methyl_pyruvate__propionic_acid_propionate__succinic_acid_succinate		negative		Yes
wastewater	2005	10.1099_ijs.0.02332_0	_AF179678	66	aerobic	2.75	2.75	non_motile	no	acid_phosphatase__alkaline_phosphatase__catalase_positive__nitrate_reduction_to_nitrite__urease_positive	Defluvicoccus	_vanus	Ben_114T	7.75	5_8.5	25	20_30				cocci	clump	2105	NCIMB13612T_CIP107350T	3_hydroxybutyrate__acetate__adonitol__arabinose__aspartic_acid_aspartate__fructose__glucose__glutamic_acid__lactate__malate__methyl_pyruvate__propionic_acid_propionate__putrescine__pyruvic_acid_pyruvate__quinic_acid__sorbitol__succinic_acid_succinate__threonine__xylose		negative		Yes
other	2004	10.1099_ijs.0.02799_0	_AF212202	57.3	facultative_aerobe	2.5	1	flagella	no	catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Halomonas	neptunia	Eplume1T	7.5	05_Dec	30	_36	2.5	0.5___27	no	rod	not_indicated	499	BAA_805T_CECT5815T_DSM15720T	acetate__alanine__alanine__arabinose__arginine__asparagine__cellobiose__citric_acide_citrate__ethanol__fructose__galactose__glucose__glycerol__malate__malonic_acid_malonate__maltose__mannitol__mannose__melibiose__proline__raffinose__rhamnose__ribose__sorbitol__succinic_acid_succinate__sucrose__trehalose__xylose		negative	hydrothermal_plume	Yes
soil	2010	10.1099_ijs.0.013078_0	_AF333759	67.1	aerobic	3.75	0.75	motile__but_unspecified_structure	not_indicated	catalase_positive__H2S_production__indole_production__nitrate_reduction_to_nitrite__oxidase_positive	Halopiger	aswanensis	56	7.5	6_9.2	40	40_55	23.75	At_least_10	yes	rod	not_indicated	633	DSM_13151_JCM_11628	arabinose__fructose__glucose__maltose__sucrose__xylose		negative		No
other	2006	10.1099_ijs.0.63941_0	_AF493696_	37.5	aerobic	1_2.5	0.6_0.7	non_motile	no	aesculin_hydrolysis__catalase_positive__oxidase_positive	Epilithonimonas	tenax	EP105	7	7	30	Apr_30	0	0	yes	rod	chain	169	NCIMB14026_DSM16811	acetate__dextrin__glucose__glutamic_acid__glycogen__maltose__mannose__ornithine__proline__serine__sucrose__threonine__trehalose		negative	epilithon_covered_stones	No
other	2008	10.1099_ijs.0.65517_0	_AJ313020	62.8	aerobic	0.9	0.6	not_indicated	no	catalase_positive__oxidase_positive	Alkanibacter	difficilis	MN154.3	7	7	30	23_37	0	0	yes	rod	chain	2324	DSM14804_LMG22842	3_hydroxybutyrate__succinic_acid_succinate		negative	biofilter_from_oil_mill	No
other	2007	10.1099_ijs.0.64953_0	_AJ427626	63.6	aerobic	2.5_3.2	1.2_1.3	flagella	no	catalase_positive__H2S_production__nitrate_reduction_to_nitrite	Chromohalobacter	salarius	_CG4.1T	7	05_Sep	35	15_45	7.5_10	Mar_25	yes	rod	not_indicated	1238	CECT5903T_LMG23626T	acetate__citric_acide_citrate__formic_acid__fructose__galactose__gluconic_acid__glucose__lactate__lactose__malate__malonic_acid_malonate__mannitol__mannose__propionic_acid_propionate__pyruvic_acid_pyruvate__succinic_acid_succinate		negative	solar_saltern	No
soil	2005	10.1099_ijs.0.02892_0	_AJ543328	67.1	anaerobic	4.5	0.9	flagella	not_indicated		Marichromatium	indicum	JA100T	6.75	6_7.5	32.5	25_39	2.5	0.05_13	yes	rod	clump	673	DSM15907T_ATCCBAA_741T_JCM12653T	acetate__fructose__lactate__malate__propionic_acid_propionate__pyruvic_acid_pyruvate__urea		negative		No
other	2004	10.1099_ijs.0.63165_0	_AJ555193					non_motile	no	alkaline_phosphatase__pyrazinamidase	Corynebacterium	ciconiae	CECT5779T								rod		2191	BS13T_CCUG47525T	fructose__glucose__glycerol__maltose__mannose__N_acetylgulcosamine__ribose		positive	stork_trachea	No
food_product	2004	10.1099_ijs.0.63190_0	_AJ582753	40.5	facultative_anaerobe			non_motile	no	aesculin_hydrolysis	Enterococcus	italicus	DSM15952T	9.6		37	Oct_45	5	05_Jun	no	cocci	chain	1717	LMG22039T	cellobiose__fructose__galactose__glucose__lactose__maltose__mannose__methyl_beta_D_glucoside__N_acetylgulcosamine__salicin__sucrose__trehalose		positive		No
other	2005	10.1099_ijs.0.03056_0	_AJ585428	34.15		2	0.5	non_motile	not_indicated	acid_phosphatase__alkaline_phosphatase__catalase_positive__oxidase_positive	Flavobacterium	psychrolimnae	LMG22018T			20	May_25	1	0_2	yes	rod	not_indicated	769	CIP108326T	glucose__maltose__mannose		negative	microbial_mats	No
food_product	2005	10.1099_ijs.0.63274_0	_AJ632158	51	facultative_anaerobe	11	1	non_motile	no		Lactobacillus	acidifarinae_	LMG22200T			7.5	<15	2.5	<5	yes	rod	chain	615	R_19065T_CCM7240T	arabinose__arabitol__fructose__glucose__maltose__mannitol__ribose__xylose		positive		No
soil	2005	10.1099_ijs.0.63397_0	_AJ715385	43.2	microerophile	5	0.9	motile__but_unspecified_structure	yes	aesculin_hydrolysis__catalase_positive__gelatinase__nitrate_reduction_to_nitrite	Aneurinibacillus	terranovensis	Logan_B_1599T	5.25	3.5_6.0	41	20_55	<2	not_indicated__inhibited_by_2_3	no	rod	chain	1039	LMG22483T_CIP108308T	adonitol__alanine__alanine__arabitol__arginine__aspartic_acid_aspartate__citric_acide_citrate__fructose__galactose__galcturonic_acid__gelatin__gluconic_acid__glucosamine__glucose__glutamic_acid__glycerol__lactate__lactose__malate__mannitol__mannose__myo_inositol__N_acetylgulcosamine__proline__putrescine__ribose__sorbitol__succinic_acid_succinate__sucrose__trehalose		variable		No
soil	2005	10.1099_ijs.0.63383_0	_AJ716019	45	anaerobic	3	0.75	not_indicated	yes	aesculin_hydrolysis__catalase_positive	Paenibacillus	barcinonensis	_BP_23T	7.7	5_10.4	25	Oct_40	2.5	<5	yes	rod	not_indicated	935	CECT7022T_DSM15478T	arabinose__cellobiose__fructose__galactose__gluconic_acid__glucose__glycerol__lactose__maltose__mannitol__mannose__melibiose__N_acetylgulcosamine__raffinose__ribose__salicin__sucrose__trehalose__xylose		positive		No
other	2005	10.1099_ijs.0.03056_0	_AJ811961	35.2		3.5	1.25	non_motile	not_indicated	acid_phosphatase__alkaline_phosphatase__catalase_positive__oxidase_positive	Flavobacterium	fryxellicola	LMG22022T			20	May_25	1	0_2	yes	rod	chain	769	CIP108325T	glucose__maltose		negative	microbial_mats	No
bioreactor	2005	10.1099_ijs.0.63706_0	_AJ853908	69.7	NA			non_motile	no	aesculin_hydrolysis__catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Microbacterium	xylanilyticum	S3_ET	7	06_Aug	27.5	25_30	2.5	1_6.5	yes	rod	clump	2075	DSM16914T_KCTC19079T	arabinose__cellobiose__fructose__galactose__glucose__glycerol__glycogen__lactose__maltose__mannitol__mannose__melibiose__proline__raffinose__ribose__salicin__sucrose__threonine__trehalose__xylose		positive		No
other	2006	10.1099_ijs.0.63863_0	_AJ920289	72.3	aerobic			not_indicated	yes	catalase_positive	Dietzia	cinnamea	IMMIB_RIV_399	7	7	35_45	22_45	0	0	yes	rod	chain	641	DSM44904_CCUG50875	acetate__glucose__maltose		positive	a_perianal_swab_of_a_patient_with_a_bone_marrow_transplant	No
other	2006	10.1099_ijs.0.63985_0	_AJ971483	59	aerobic			non_motile	yes	aesculin_hydrolysis__oxidase_positive	Cohnella	thermotolerans	CCUG_47242	7	7	25_30	25_55	0	0	yes	rod	chain	781	CCUG47242_CIP108492_DSM17683	arabinose__cellobiose__fructose__galactose__gluconic_acid__glucose__maltose__mannose__melibiose__rhamnose__ribose		positive	industrial_starch_production	No
other	2006	10.1099_ijs.0.63954_0	_AM039978	60.3	aerobic	04_May	0.4_0.5	non_motile	no	catalase_positive__H2S_production__oxidase_positive__urease_positive	Halovivax	asiasticus	EJ_46	7_7.5	06_Sep	37	25_45	20	15_25	yes	rod	chain	765	CGMCC1.4248_CECT7098	acetate__glutamic_acid__lactose__propionic_acid_propionate__raffinose__trehalose__xylose		negative	saline_lake	No
marine_sediment	2008	10.1099_ijs.0.65439_0	_AM117931	62.6	aerobic	02_May	0.3_0.4	flagella	no	oxidase_positive	Spongiispira	norvegica	Gp_4_7.1	07_Aug	6.5_8.5	20_30	Jun_37	02_Mar	02_Jul	yes	rod	chain	1815	DSM17749_NCIMB14401	arabinose		negative	marine_sponge	No
soil	2007	10.1099_ijs.0.64472_0	_AM229324	70.95		1.4	0.45	flagella	no	oxidase_positive__urease_positive	Aspromonas	composti	TR7_09_T	7	06_Sep	30	20_42		<3		rod	not_indicated	1876	KCTC12666T_DSM18010_T	3_hydroxybenzoate__3_hydroxybenzoate__5_ketoguconate__acetate__glycogen__malonic_acid_malonate__rhamnose__serine__suberic_acid		negative		No
other	2008	10.1099_ijs.0.65731_0	_AM396260	73	aerobic	1.3_1.5	0.3_0.4	non_motile	no	catalase_positive	Agrococcus	jejuensis	SSW1_48	7	6.1_12.1	30	Oct_37	0_3	0_3	yes	rod	chain	2297	KCTC19198_JCM14256	glucose__malate__maltose__mannitol__mannose__N_acetylgulcosamine		positive	seaweed	No
other	2008	10.1099_ijs.0.65833_0	_AM709786	40.8	aerobic	0.7_1		non_motile	no		Pediococcus	argentinicus	LMG_23999	04_Aug	04_Aug	40	40	0_6	0_6	yes	cocci	chain	2909	CCUG54535_CRL776	cellobiose__fructose__galactose__glucose__mannitol__mannose__N_acetylgulcosamine__salicin__sucrose		positive	wheat_flour	No
seawater	2008	10.1099_ijs.0.65446_0	_AM745437	38.9	aerobic	1.48_2.99	0.6_0.78	non_motile	no	aesculin_hydrolysis__catalase_positive__oxidase_positive	Eudoraea	adriatica	AS06_20a	7.5_8	6.5_8.5	30	15_33	2	02_Jun	no	rod	chain	2275	DSM19308_CIP109577_OOB358	acetate__adipate__arabinose__arginine__caprate__citric_acide_citrate__gluconic_acid__glucose__malate__mannitol__mannose__N_acetylgulcosamine__phenylacetate__propionic_acid_propionate__pyruvic_acid_pyruvate		negative		No
soil	2008	I_10.1099_ijs.0.65515_0	_AM773821		aerobic	3.5	1.25	flagella	yes	acid_phosphatase__alkaline_phosphatase__catalase_positive__nitrate_reduction_to_nitrite__urease_positive	Bacillus	cecembensis	PN5	06_Aug	06_Aug	25	Apr_30	0_3	0_3	yes	rod	chain	2330	LMG23935_MTCC9127_JCM15113	citric_acide_citrate__trehalose		positive	soil_sample_from_Pindari_glacier	No
seawater	2009	10.1099_ijs.0.002683_0	_AM904562	61	aerobic	0.9	1.8	flagella	not_indicated	acid_phosphatase__aesculin_hydrolysis__alkaline_phosphatase__alpha_galactosidase__catalase_positive__oxidase_positive	Nautella	italica	LMG_24365T	7.25	5.5_9	24	Apr_45	2.5	01_Jul	yes	rod	clump	811	CCUG55857T	Tween_80		negative		No
other	2005	10.1099_ijs.0.63083_0	_AY253658	41.3	anaerobic	1.2	0.9	non_motile	no		Lactobacillus	gastricus	_Kx156A7T			33.5	25_42			no	rod	clump	77	LMG22113T_DSM16045T_CCUG48454T	arabinose__cellobiose__fructose__galactose__gluconic_acid__glucose__lactate__lactose__maltose__mannose__melibiose__N_acetylgulcosamine__raffinose__ribose__salicin__sucrose__trehalose		positive	human_gastric_mucosa	No
soil	2006	10.1099_ijs.0.63836_0	_AY260167	76.5	aerobic			not_indicated	yes	nitrate_reduction_to_nitrite	Kitasatospora	sampliensis	VT_36	07_Aug	07_Sep	30	30_37	0_2.5	0_2.5	yes	rod	chain	519	MTCC6546_DSM44898_JCM13010	arabinose__fructose__mannitol__raffinose__rhamnose__sucrose__xylose		positive		No
other	2004	10.1099_ijs.0.02926_0	_AY331143	55.5	anaerobic	11.5	0.5	flagella	yes		Mahella	australiensis	50_1__BONT	7.5	5.5_8.5	50	30_60	0.5	0_4		rod		2169	DSM15567T_CIP107919T	arabinose__cellobiose__fructose__galactose__glucose__mannose__sucrose__xylose		positive	oil_field	No
other	2005	10.1099_ijs.0.63085_0	_AY340622	74	aerobic			non_motile	not_indicated		Pseudonocardia	dioxanivorans	CB1190T			30	Oct_37	2.5	<5		rod	not_indicated	593	ATCC55486T_DSM44775T	alaninamide__cellobiose__fructose__galactose__gluconic_acid__mannitol__putrescine__rhamnose__ribose__salicin__succinic_acid_succinate__trehalose__xylitol__xylose		positive	industrial_sludge	Yes
hypersaline_environment	2005	10.1099_ijs.0.63787_0	_AY351389	42.2	aerobic	1.9	0.9	flagella	yes	catalase_positive__gelatinase__oxidase_positive	Halobacillus	aidingensis	AD_6T_	7.5	6.0_10.0	32	15_40	10	0.5_20	yes	rod	clump	1991	JCM12772T_CGMCC1.3704T	fructose__glucose__maltose__mannitol__sucrose__trehalose		positive		No
marine_sediment	2005	10.1099_ijs.0.63236_0	_AY485792	42	facultative_anaerobe	2.1	0.325	non_motile	no	alkaline_phosphatase__catalase_positive	Marinilactibacillus	piezotolerans	LT20T	7.5	5.5_10	38.5	Apr_50	1.49	0_11.91		rod	not_indicated	345	DSM16108T_JCM12337T	acetate__cellobiose__ethanol__fructose__galactose__glucose__lactose__maltose__mannitol__sorbitol__sucrose__xylose		positive		No
seawater	2004	10.1099_ijs.0.63151_0	_AY517632	58	anaerobic	2.25	0.75	flagella	no	nitrate_reduction_to_nitrite	Marinobacter	flavimaris	SW_145T	7.5	5.5_8.0	37	30_37	4	<20		rod	not_indicated	1799	KCTC12185T_DSM16070T	fructose__glycerol__succinic_acid_succinate__Tween_20__Tween_40__Tween_60__Tween_80		negative		No
soil	2004	10.1099_ijs.0.63172_0	_AY526861	46		3.5	0.75	flagella	no	aesculin_hydrolysis__catalase_positive__H2S_production	Idiomarina	fontislapidosi	F23T	7.5	05_Oct	32	Apr_45	4	0.5_20		rod	clump	1793	CECT5859T_LMG22169T	Tween_20__Tween_80		negative		No
other	2006	10.1099_ijs.0.63543_0	_AY533171	37.8	anaerobic			non_motile	no	aesculin_hydrolysis	Pilibacter	termitis	TI_1	n_a	n_a	20_30	20_30	0	0	yes	rod	chain	15	ATCCBAA_1030_CCUG49613	fructose__galactose__glucose__mannose__N_acetylgulcosamine__salicin__sorbitol__trehalose__xylose		positive	hindgut_of_termite	No
food_product	2005	10.1099_ijs.0.63208_0	_AY550276	45	aerobic	0.7	2.5	flagella	yes	aesculin_hydrolysis__alkaline_phosphatase__nitrate_reduction_to_nitrite__oxidase_positive	Bacillus	cibi	JG_30T	7	5.5_7.5	37	Apr_50	0.5	0_12	yes	rod		733	KCTC3880T_DSM16189T	acetate__cellobiose__fructose__galactose__glucose__malate__maltose__mannose__melibiose__pyruvic_acid_pyruvate__raffinose__succinic_acid_succinate__sucrose__trehalose__Tween_80		variable		No
